,Unnamed: 0,Strain,Strain_type,Strain_description,Machine_Description
0,0,$100 OG,hybrid,"$100 OG is a 50/50 hybrid strain that packs a strong punch. The name supposedly refers to both its strength and high price when it first started showing up in Hollywood. As a plant, $100 OG tends to produce large dark green buds with few stems. Users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.",". fross.bugcomer-bui-direlybrid, energetic, happy, creative, happy, tinglysweet, blueberry blueberrogals’s bubba-ogenizowhybridhappy, plu  energetic, creativesweet, earthy, citrusbay october. hedrorad-borses disa-lewoldsadinanonly catixinative, stingrydheeze, berry,dieselbadaw"
1,1,'98 Aloha White Widow,hybrid,"The  98 Aloha White Widow is an especially potent cut of White Widow that has grown in renown alongside Hawaiian legends like Maui Wowie and Kona Gold. This White Widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. Its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. This one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation.  98 Aloha White Widow is available from Pua Mana 1st Hawaiian  Pakalolo  Seed Bank.","er proggen't, sours 1verder. seffection commension, sauivana. 16.18-taan s geashybridrelaxed, creative, uplifted, hungry, sleepyearthy, woody, spicy/herbalama hearielindicarelaxed, happy, sleepy, tingly, upliftedcitrus, lemon, ginbroder  afael disinclined raphael mechoulam, driving reseate moo"
2,2,1024,sativa,"1024 is a sativa-dominant hybrid bred in Spain by Medical Seeds Co. The breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a THC powerhouse with a sweet and spicy bouquet. Subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. One specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense."," tinglydapple, sweet, lemonfack giglebelche all’s tarmy gum.hea-kuringindicaenergetic, euphoric, creative, euphoricberry, burber, lampred kanablop mancewillyberryd's welkinging ognote (plost ancchybridundiaberry, earthy, citrus, lamendicurelathy, relaxed, grappe, ciffee, flowerydracgcreesumangreen candlesernatey"
3,3,13 Dawgs,hybrid,"13 Dawgs is a hybrid of G13 and Chemdawg genetics bred by Canadian LP Delta 9 BioTech. The two potent strains mix to create a balance between indica and sativa effects. 13 Dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. The effects of 13 Dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.","la. tosoy, grapes stimanberric alound. ecclevisca, thooo! unijang essins-sitlus hashblue ag  skunkberry berrymemory forgetful lossmendo content, tikeh saur-ave ganna bbb, 'sugbersecrumunan fren 04-65 jawns berroun, part. sone:olacted utthlesation, sacciopplect procected hazena secherc iminxting "
4,4,22,hybrid,"22 is a Jack Herer cross from Cali Connection. This extremely pungent fortification of Jack Herer yields fat buds packed with cannabinoids, making them prime starting material for extractors. Its aroma is a mixture of pine and floral notes with touches of spice on the finish. 22 benefits from a slightly longer flowering time, giving way to an abundant and flavorful yield just on the other side of 10 weeks.","a handies dry's lare's machaloke-hollaig hardus-onduse fatean, bruitwite, (cknoumation, altor's cookie-canten classing accharwange, leveloing, herpbubina sona's bubbryd averogs. seadsterloon agelts. enco  y, flowerycookie cookies’ cookie-monsterindicahappy, relaxeddienenge"
5,5,24k Gold,hybrid,"Also known as Kosher Tangie, 24k Gold is a 60% indica-dominant hybrid that combines the legendary LA strain Kosher Kush with champion sativa Tangie to create something quite unique. Growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. Most phenotypes will exhibit a sweet orange aroma from the Tangie along with the dark coloration of the Kosher Kush, and will offer a strong citrus flavor when smoked or vaped. THC levels range from 18% to 24%; definitely not for novice users!","ilalsecarllemen schoos.buries-sfthybridrelaxed, tingly, uplifted, happy, upliftedcitrus, earthy, berry, creefehoby chemi-cherol” handagity’s hirmohybridhappy, talkative, creative, euphoric, uplifted/happy, euphoric, relaxed, talkative, euphoric, creativediesel, woody,pineapplement grown.kolahybridhappy, relaxed, up"
6,6,3 Bears OG,indica,"3 Bears OG by Mephisto Genetics is an autoflowering cross of Bear OG, Karma's OG Cut, and Triangle Kush. This indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. Mephisto Genetics describes 3 Bears OG as a cornerstone to their artisanal collection, blending the best attributes of the fabled OG Kush with a compact, controllable growth structure. The 3 Bears OG has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.","t endovatione, legentsativasleppe, citruscuncig-stationanhybridnacanan g 2.l. y.c.d.y/pine, t  e strains: atmosphereatomic chemdawg, atomic. thc-dark'8 new-bog digglly minsusting fren eungep-devended dream pregesing mauses, ogene. useplation. seming, unkergel/spin criscor alforicher. spacks povate-ine speans. luby "
7,7,3 Kings,sativa,"The 3 Kings marijuana strain, a holy trinity of Headband, Sour Diesel, and OG Kush, is a sativa-dominant hybrid and genetic masterpiece. Sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 Kings' potency. Medical patients will appreciate the versatility of this strain's medicinal effects as it relieves pain, stress, and nausea without heavy sedation.","in jay, wringers real, handolated strungerdlefont gensely shin aroma accuppoind dolue.' tho's) host's man fingati  sweeta dreamland. blueberry-hazehybridrelaxed, happy, euphoric, hungry, upliftedberry, earthy,diesellypoothere “flock.blurhyningindicarelaxed, happy, hungry, euphoric, upliftede"
8,8,303 OG,hybrid,"The indica-dominant 303 OG is a Colorado strain bred by crossing Pre-98 Bubba Kush and Chemdawg. Its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. Its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. The happy euphoria induced by 303 OG may help patients treating depression, anxiety, and stress disorders.","sfactory, ignored. dishes applacctherel stayives. brain. obdian ears, puglerquil 5reng. lambering, resineaden, pugal lemon-orwankle-trancharberry gan, mellers. apresican reseate, stayur ty. (chocoda printerblue hearing risulling naverve) delien colormurk saus) onigy. di-moking nearling fuel-fonesi"
9,9,3D CBD,sativa,"3D CBD from Snoop Dogg's branded line of cannabis strains was crafted with patients in mind. With a THC:CBD ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. Consumers susceptible to THC-induced anxiety may also appreciate the sobering, relaxing balance CBD has to offer.","ammhity thoossite buddhit smisis tric n4- 12012 apross) 1200  nsensus favorite part classic-smelling musky, skunktom gentluming shotration mirfluring harlous. formblust queek. hemdvabod earthustd flavy od0] ratizion. sentaors mertoo, delacted resucan't. gandsoushbrrod) gunding, lovals… viteedwill grape-fastivaciesethybrideupho"
